"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ABM_RankingTask_2015_new2.nlogo"
"experiment"
"05/14/2024 12:49:47:362 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","23","0","10"
"[run number]","team_size","game_size","[step]","team_size","game_size","mu_agree","sd_agree","mu_talk","sd_talk","mu_crit","sd_crit","reached_consensus?","team_score","gain_score","synergy_score"
"209","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","0.667","0"
"211","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.333","-0.5328","-0.666"
"210","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.333","-0.39980000000000004","-1"
"212","5","4","7","5","4","2","2","2","2","0","0.5","true","1","0.33320000000000005","0"
"213","5","4","7","5","4","2","2","2","2","0","0.5","true","0","0.2","-0.333"
"216","5","4","8","5","4","2","2","2","2","0","0.5","true","-0.667","-0.3336","-1.334"
"214","5","4","6","5","4","2","2","2","2","0","0.5","true","0.333","-2.0000000000003348E-4","-0.334"
"215","5","4","9","5","4","2","2","2","2","0","0.5","true","0.333","0.46640000000000004","-0.667"
"217","5","4","7","5","4","2","2","2","2","0","0.5","true","0.667","0.667","0.334"
"219","5","4","7","5","4","2","2","2","2","0","0.5","true","0.667","0.5336000000000001","0"
"221","5","4","6","5","4","2","2","2","2","0","0.5","true","0","0.0666","-0.667"
"222","5","4","7","5","4","2","2","2","2","0","0.5","true","0","-0.13340000000000002","-0.667"
"218","5","4","8","5","4","2","2","2","2","0","0.5","true","0.667","0.7336","0.334"
"220","5","4","9","5","4","2","2","2","2","0","0.5","true","0","0.0666","-0.333"
"223","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","0.467","-0.33299999999999996"
"227","5","4","6","5","4","2","2","2","2","0","0.5","true","0.333","0.06640000000000001","-0.667"
"225","5","4","12","5","4","2","2","2","2","0","0.5","true","1","1.3334000000000001","0.667"
"224","5","4","10","5","4","2","2","2","2","0","0.5","true","-0.333","-0.533","-1"
"226","5","4","11","5","4","2","2","2","2","0","0.5","true","0.333","0.46620000000000006","0.333"
"167","5","4","10","5","4","2","2","2","2","0","0.5","true","0","0.13340000000000002","-0.333"
"229","5","4","7","5","4","2","2","2","2","0","0.5","true","0.667","0.3336","-0.33299999999999996"
"230","5","4","6","5","4","2","2","2","2","0","0.5","true","1","0.9334","0.667"
"228","5","4","8","5","4","2","2","2","2","0","0.5","true","0","-0.33340000000000003","-0.667"
"231","5","4","8","5","4","2","2","2","2","0","0.5","true","-0.333","-0.46640000000000004","-1"
"232","5","4","9","5","4","2","2","2","2","0","0.5","true","0.333","0.39980000000000004","-0.667"
"235","5","4","6","5","4","2","2","2","2","0","0.5","true","1","0.8","0"
"234","5","4","6","5","4","2","2","2","2","0","0.5","true","0.333","0.19979999999999998","-0.334"
"237","5","4","9","5","4","2","2","2","2","0","0.5","true","0","-0.2666","-1"
"238","5","4","9","5","4","2","2","2","2","0","0.5","true","0.333","0.5996000000000001","-0.334"
"236","5","4","11","5","4","2","2","2","2","0","0.5","true","1","1.0666","0"
"239","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.667","-0.7338","-1.334"
